,Hour,P95 Runtime
441,2023-06-27 09:00:00,1973.24
442,2023-06-27 10:00:00,2029.72
443,2023-06-27 11:00:00,2248.88
444,2023-06-27 12:00:00,2222.77
445,2023-06-27 13:00:00,2441.21
446,2023-06-27 14:00:00,2440.6
447,2023-06-27 15:00:00,2427.38
448,2023-06-27 16:00:00,2367.35
449,2023-06-27 17:00:00,2348.44
450,2023-06-27 18:00:00,2325.04
451,2023-06-27 19:00:00,2306.87
452,2023-06-27 20:00:00,2252.86
453,2023-06-27 21:00:00,1929.07
454,2023-06-27 22:00:00,1947.92
455,2023-06-27 23:00:00,1910.6
456,2023-06-28 00:00:00,1971.81
457,2023-06-28 01:00:00,1876.15
458,2023-06-28 02:00:00,1841.35
459,2023-06-28 03:00:00,2139.21
460,2023-06-28 04:00:00,1980.03
461,2023-06-28 05:00:00,1808.02
462,2023-06-28 06:00:00,2104.04
463,2023-06-28 07:00:00,2059.62
464,2023-06-28 08:00:00,1821.97
465,2023-06-28 09:00:00,1639.99
466,2023-06-28 10:00:00,1848.88
467,2023-06-28 11:00:00,2405.92
468,2023-06-28 12:00:00,2397.26
469,2023-06-28 13:00:00,2511.67
470,2023-06-28 14:00:00,2405.06
471,2023-06-28 15:00:00,2355.58
472,2023-06-28 16:00:00,2227.77
473,2023-06-28 17:00:00,2289.24
474,2023-06-28 18:00:00,2295.13
475,2023-06-28 19:00:00,2377.03
476,2023-06-28 20:00:00,2292.12
477,2023-06-28 21:00:00,1986.85
478,2023-06-28 22:00:00,1931.04
479,2023-06-28 23:00:00,1862.96
480,2023-06-29 00:00:00,1917.55
481,2023-06-29 01:00:00,1859.71
482,2023-06-29 02:00:00,1854.46
483,2023-06-29 03:00:00,2289.31
484,2023-06-29 04:00:00,2076.42
485,2023-06-29 05:00:00,1875.36
486,2023-06-29 06:00:00,1987.6
487,2023-06-29 07:00:00,2123.51
488,2023-06-29 08:00:00,1905.1
489,2023-06-29 09:00:00,1895.67
490,2023-06-29 10:00:00,2092.51
491,2023-06-29 11:00:00,2185.14
492,2023-06-29 12:00:00,2247.93
493,2023-06-29 13:00:00,2473.27
494,2023-06-29 14:00:00,2472.36
495,2023-06-29 15:00:00,2383.9
496,2023-06-29 16:00:00,2286.52
497,2023-06-29 17:00:00,2341.47
498,2023-06-29 18:00:00,2378.25
499,2023-06-29 19:00:00,2301.73
500,2023-06-29 20:00:00,2201.69
501,2023-06-29 21:00:00,1896.65
502,2023-06-29 22:00:00,1881.58
503,2023-06-29 23:00:00,1826.36
504,2023-06-30 00:00:00,1943.87
505,2023-06-30 01:00:00,1841.43
506,2023-06-30 02:00:00,1869.08
507,2023-06-30 03:00:00,2050.34
508,2023-06-30 04:00:00,1959.99
509,2023-06-30 05:00:00,1758.86
510,2023-06-30 06:00:00,2043.9
511,2023-06-30 07:00:00,2153.78
512,2023-06-30 08:00:00,1897.51
513,2023-06-30 09:00:00,1735.0
514,2023-06-30 10:00:00,2283.85
515,2023-06-30 11:00:00,2382.18
516,2023-06-30 12:00:00,2259.13
517,2023-06-30 13:00:00,2360.78
518,2023-06-30 14:00:00,2369.1
519,2023-06-30 15:00:00,2331.42
520,2023-06-30 16:00:00,2281.46
521,2023-06-30 17:00:00,2261.83
522,2023-06-30 18:00:00,2248.36
523,2023-06-30 19:00:00,2230.82
524,2023-06-30 20:00:00,2131.7
525,2023-06-30 21:00:00,1944.91
526,2023-06-30 22:00:00,1860.51
527,2023-06-30 23:00:00,1797.77
528,2023-07-01 00:00:00,1961.86
529,2023-07-01 01:00:00,1852.33
530,2023-07-01 02:00:00,1811.74
531,2023-07-01 03:00:00,1622.88
532,2023-07-01 04:00:00,1711.12
533,2023-07-01 05:00:00,2233.15
534,2023-07-01 06:00:00,2031.86
535,2023-07-01 07:00:00,2242.94
536,2023-07-01 08:00:00,1846.34
537,2023-07-01 09:00:00,1605.96
538,2023-07-01 10:00:00,2348.01
539,2023-07-01 11:00:00,2370.84
540,2023-07-01 12:00:00,2152.15
541,2023-07-01 13:00:00,2242.08
542,2023-07-01 14:00:00,2106.83
543,2023-07-01 15:00:00,1950.66
544,2023-07-01 16:00:00,2005.49
545,2023-07-01 17:00:00,1964.29
546,2023-07-01 18:00:00,1989.05
547,2023-07-01 19:00:00,1960.87
548,2023-07-01 20:00:00,1855.64
549,2023-07-01 21:00:00,1597.42
550,2023-07-01 22:00:00,1514.41
551,2023-07-01 23:00:00,1815.4
552,2023-07-02 00:00:00,1807.36
553,2023-07-02 01:00:00,1874.79
554,2023-07-02 02:00:00,1918.26
555,2023-07-02 03:00:00,1935.35
556,2023-07-02 04:00:00,2147.52
557,2023-07-02 05:00:00,2431.47
558,2023-07-02 06:00:00,2407.86
559,2023-07-02 07:00:00,2300.25
560,2023-07-02 08:00:00,1605.38
561,2023-07-02 09:00:00,1292.08
562,2023-07-02 10:00:00,2295.67
563,2023-07-02 11:00:00,2089.59
564,2023-07-02 12:00:00,1742.99
565,2023-07-02 13:00:00,1915.73
566,2023-07-02 14:00:00,1789.89
567,2023-07-02 15:00:00,1904.56
568,2023-07-02 16:00:00,1792.91
569,2023-07-02 17:00:00,1735.84
570,2023-07-02 18:00:00,1841.36
571,2023-07-02 19:00:00,1711.15
572,2023-07-02 20:00:00,1709.83
573,2023-07-02 21:00:00,1730.2
574,2023-07-02 22:00:00,1775.4
575,2023-07-02 23:00:00,1897.2
576,2023-07-03 00:00:00,1934.66
577,2023-07-03 01:00:00,1830.91
578,2023-07-03 02:00:00,1531.03
579,2023-07-03 03:00:00,1931.97
580,2023-07-03 04:00:00,2217.3
581,2023-07-03 05:00:00,2216.47
582,2023-07-03 06:00:00,2097.98
